red,green,blue,ambient,width,label
818.60,713.00,688.60,634.20,28,unripe
819.70,714.30,688.80,633.30,28,unripe
819.10,713.30,688.20,633.20,28,unripe
819.40,713.70,688.30,633.30,28,unripe
819.40,712.60,679.30,589.90,28,unripe
781.80,604.10,520.10,376.70,28,unripe
671.10,498.00,545.90,547.10,28,unripe
777.50,696.20,677.50,625.00,28,unripe
814.60,708.00,682.90,627.10,28,unripe
815.80,709.60,684.90,629.10,28,unripe
817.70,712.50,688.50,634.00,28,unripe
820.10,715.40,690.60,635.80,28,unripe
820.80,715.50,690.40,635.40,28,unripe
820.50,715.60,691.30,636.50,28,unripe
821.10,716.10,690.00,635.70,28,unripe
821.00,716.40,682.60,619.90,28,unripe
820.80,717.90,696.00,643.20,28,unripe
824.80,718.60,691.80,634.40,28,unripe
819.60,697.90,679.00,633.00,28,unripe
820.50,716.30,693.50,642.00,28,unripe
823.90,719.90,692.80,636.30,28,unripe
814.80,683.30,645.10,576.20,28,unripe
778.60,594.30,426.80,189.60,28,unripe
573.40,433.70,518.40,551.80,28,unripe
787.20,681.80,657.10,579.70,28,unripe
777.40,652.00,622.90,560.60,28,unripe
781.10,661.90,634.10,564.10,28,unripe
775.60,651.00,620.30,555.30,28,unripe
777.00,653.90,623.70,556.70,28,unripe
778.00,655.10,626.40,564.30,28,unripe
787.00,702.90,682.60,626.90,28,unripe
815.80,709.10,684.40,627.80,28,unripe
816.10,709.40,684.20,627.90,28,unripe
814.90,707.20,681.50,625.00,28,unripe
814.30,707.20,681.70,625.00,28,unripe
812.80,704.80,678.50,620.10,28,unripe
811.50,704.50,680.00,627.00,28,unripe
817.40,713.20,688.90,633.60,28,unripe
818.70,713.60,689.30,632.80,28,unripe
818.70,712.40,686.40,632.00,28,unripe
818.70,713.70,688.50,632.90,28,unripe
817.90,711.40,686.90,632.90,28,unripe
818.60,712.80,687.30,631.40,28,unripe
817.40,711.20,686.10,630.90,28,unripe
817.50,711.00,686.40,630.70,28,unripe
817.10,710.80,685.50,629.40,28,unripe
816.10,709.50,685.10,629.60,28,unripe
816.60,710.10,685.20,629.50,28,unripe
816.60,710.80,685.60,628.70,28,unripe
816.30,709.80,684.80,630.00,28,unripe
816.20,709.30,685.10,630.40,28,unripe
811.40,708.20,680.60,623.10,28,unripe
812.20,703.60,678.00,620.40,28,unripe
810.80,702.10,677.00,620.60,28,unripe
813.60,711.80,688.00,634.30,28,unripe
820.20,715.90,690.80,636.00,28,unripe
822.40,720.80,697.00,640.80,28,unripe
820.80,714.30,686.70,599.00,28,unripe
794.00,675.90,648.20,595.10,28,unripe
800.90,688.90,661.30,598.60,28,unripe
794.70,674.10,649.60,596.00,28,unripe
801.90,690.30,662.70,604.70,28,unripe
802.90,691.40,666.20,607.70,28,unripe
803.80,692.80,667.70,610.40,28,unripe
806.10,695.30,670.30,612.50,28,unripe
806.50,698.10,669.50,612.40,28,unripe
807.40,699.20,673.50,618.10,28,unripe
810.00,701.70,675.60,615.10,28,unripe
807.60,698.50,672.60,614.60,28,unripe
807.00,695.20,666.00,591.30,28,unripe
749.60,592.60,552.30,472.60,28,unripe
730.50,580.90,542.90,465.20,28,unripe
728.90,582.10,537.90,458.00,28,unripe
727.70,580.80,543.20,458.70,28,unripe
720.80,567.50,530.60,454.70,28,unripe
720.50,570.40,532.00,451.70,28,unripe
719.10,566.10,527.80,447.60,28,unripe
716.70,567.50,530.00,450.20,28,unripe
718.80,567.40,528.80,448.70,28,unripe
718.80,567.40,529.90,448.90,28,unripe
718.20,567.00,528.40,447.00,28,unripe
718.00,567.20,529.50,449.20,28,unripe
718.80,568.00,531.00,451.00,28,unripe
721.40,574.80,538.90,460.30,28,unripe
723.70,570.00,530.70,450.40,28,unripe
720.30,570.70,534.20,458.30,28,unripe
