red,green,blue,label
646.20,548.20,540.40,ripe
654.20,549.60,538.00,ripe
649.20,546.30,537.50,ripe
650.80,545.80,540.20,ripe
650.60,547.10,539.20,ripe
655.00,548.20,539.80,ripe
654.30,551.00,544.20,ripe
655.70,554.50,549.40,ripe
658.60,552.40,538.00,ripe
641.90,539.40,530.40,ripe
642.30,539.90,530.90,ripe
641.00,539.50,529.90,ripe
634.80,525.20,529.20,ripe
623.90,513.70,534.90,ripe
655.90,537.40,515.90,ripe
629.00,525.10,516.70,ripe
635.30,532.10,527.50,ripe
642.60,537.40,526.60,ripe
641.00,535.70,524.00,ripe
632.40,527.80,522.90,ripe
634.20,534.40,527.10,ripe
633.70,537.30,529.90,ripe
634.10,536.00,529.60,ripe
635.50,537.00,526.90,ripe
636.20,540.20,531.00,ripe
637.60,537.50,529.30,ripe
635.20,535.40,525.70,ripe
639.70,536.20,529.00,ripe
641.60,540.80,533.40,ripe
643.20,542.40,533.70,ripe
646.90,546.40,539.40,ripe
652.30,550.20,534.30,ripe
648.50,545.00,535.90,ripe
654.00,548.50,538.00,ripe
652.80,547.70,541.20,ripe
659.60,560.00,554.10,ripe
662.70,564.80,554.60,ripe
662.70,562.00,552.60,ripe
662.40,561.70,551.80,ripe
660.70,564.30,556.30,ripe
661.60,571.90,558.50,ripe
666.70,566.00,537.20,ripe
616.60,528.00,523.30,ripe
624.50,535.20,528.00,ripe
627.80,533.10,523.40,ripe
625.20,531.20,524.20,ripe
631.40,537.40,528.70,ripe
633.30,540.10,531.80,ripe
681.70,619.20,611.60,ripe
671.30,601.30,585.10,ripe
674.10,587.80,581.10,ripe
664.40,593.50,588.70,ripe
665.50,596.80,599.80,ripe
651.90,614.50,595.20,ripe
664.00,601.30,588.00,ripe
674.10,572.10,556.70,ripe
670.70,553.70,546.10,ripe
677.00,564.90,552.70,ripe
674.00,560.40,546.80,ripe
674.40,561.60,551.80,ripe
677.10,567.90,555.40,ripe
678.10,563.70,549.20,ripe
675.10,561.60,551.00,ripe
670.20,565.20,551.90,ripe
668.10,566.80,557.20,ripe
670.20,569.90,560.00,ripe
669.70,575.00,567.30,ripe
673.70,570.80,563.90,ripe
675.30,577.80,571.00,ripe
671.90,579.10,567.90,ripe
664.00,573.40,566.70,ripe
654.30,571.50,563.40,ripe
654.80,569.10,559.60,ripe
652.70,564.40,555.90,ripe
657.60,571.20,562.70,ripe
658.00,574.10,565.40,ripe
665.00,577.30,569.50,ripe
671.00,576.50,564.40,ripe
664.50,577.10,567.40,ripe
661.00,576.30,566.20,ripe
661.80,573.70,565.60,ripe
661.90,573.40,564.90,ripe
661.00,573.30,563.80,ripe
661.70,569.60,546.40,ripe
649.80,558.80,548.00,ripe
638.50,546.30,536.70,ripe
643.20,566.00,561.40,ripe
655.40,574.40,565.40,ripe
655.00,574.00,571.00,ripe
650.70,579.00,569.40,ripe
643.70,564.80,558.40,ripe
645.10,576.40,573.40,ripe
648.90,580.20,568.10,ripe
653.00,566.90,557.50,ripe
649.50,564.50,555.90,ripe
