red,green,blue,ambient,label
720.50,705.00,705.20,696.30,unripe
720.20,704.50,704.80,697.10,unripe
721.20,707.30,706.20,697.70,unripe
721.40,707.10,707.40,698.10,unripe
720.80,706.80,707.30,698.00,unripe
720.70,705.70,706.20,696.90,unripe
720.10,706.30,705.50,696.40,unripe
719.70,707.20,707.40,698.70,unripe
721.10,707.40,707.30,698.70,unripe
721.40,707.60,707.30,698.10,unripe
720.40,707.00,707.50,698.20,unripe
720.70,706.80,708.40,699.90,unripe
721.20,706.90,707.70,698.90,unripe
724.30,713.30,714.20,702.20,unripe
730.60,714.50,714.80,703.00,unripe
730.60,713.70,713.50,703.70,unripe
730.20,713.20,713.40,702.80,unripe
730.50,713.10,712.50,702.00,unripe
729.90,712.50,712.20,702.40,unripe
730.30,712.00,712.20,700.80,unripe
729.20,711.30,711.90,700.50,unripe
728.90,711.40,711.20,700.50,unripe
728.60,710.90,711.50,700.80,unripe
729.60,711.50,711.30,700.50,unripe
728.70,710.60,710.80,699.70,unripe
728.90,709.60,709.30,698.50,unripe
728.50,710.20,708.00,695.40,unripe
725.00,706.30,707.30,698.40,unripe
726.00,706.90,706.50,696.10,unripe
725.10,707.00,707.10,695.60,unripe
723.20,705.00,704.90,694.40,unripe
723.30,704.80,705.40,694.00,unripe
724.00,706.50,706.60,695.60,unripe
724.10,706.20,705.50,694.60,unripe
724.10,706.30,706.60,695.70,unripe
722.80,704.60,704.50,693.10,unripe
721.90,703.40,702.90,691.80,unripe
720.60,702.90,701.60,690.90,unripe
719.10,702.50,701.80,691.20,unripe
718.80,700.90,700.50,689.40,unripe
716.60,699.60,700.10,689.20,unripe
716.40,699.40,699.30,690.40,unripe
718.60,701.50,700.80,690.80,unripe
718.50,701.20,701.80,690.30,unripe
718.90,701.80,702.10,690.70,unripe
717.60,701.00,701.00,691.00,unripe
719.50,702.90,702.30,691.60,unripe
719.00,702.00,701.80,692.10,unripe
719.70,703.00,703.10,693.10,unripe
720.50,703.70,702.80,692.80,unripe
720.10,704.40,703.40,692.70,unripe
719.50,703.00,703.40,692.40,unripe
719.50,703.10,703.00,692.50,unripe
720.20,702.50,702.70,691.40,unripe
718.70,702.50,702.90,691.90,unripe
719.20,702.40,702.70,692.70,unripe
720.30,703.20,703.30,693.60,unripe
720.30,703.80,703.60,693.20,unripe
720.50,704.20,704.20,693.10,unripe
719.40,703.20,703.60,694.90,unripe
722.10,705.20,705.20,694.90,unripe
721.40,704.50,704.80,694.70,unripe
722.80,709.30,707.20,695.20,unripe
721.00,704.50,704.20,694.20,unripe
721.20,703.20,702.60,691.80,unripe
719.30,702.80,702.30,691.30,unripe
719.30,701.70,701.90,690.90,unripe
718.20,700.30,700.10,689.90,unripe
717.90,700.40,699.70,688.80,unripe
716.80,700.10,699.60,689.10,unripe
716.50,699.80,700.70,690.70,unripe
717.50,700.60,700.40,690.00,unripe
717.80,701.50,701.50,690.30,unripe
718.50,702.10,701.60,691.00,unripe
718.20,701.60,701.00,690.20,unripe
718.00,700.20,699.40,689.40,unripe
717.10,701.70,701.80,690.70,unripe
718.80,702.40,702.70,691.40,unripe
717.80,700.60,700.60,690.50,unripe
717.20,701.30,701.20,690.50,unripe
717.70,701.40,700.30,690.40,unripe
717.20,701.00,700.80,690.20,unripe
717.70,700.50,700.70,690.50,unripe
717.90,700.90,700.80,689.70,unripe
717.90,701.20,701.30,693.60,unripe
721.40,706.10,705.80,696.60,unripe
717.90,705.20,704.80,695.60,unripe
718.50,703.70,704.70,694.60,unripe
717.60,703.40,704.20,694.10,unripe
716.80,702.20,702.30,692.60,unripe
716.50,701.30,701.20,692.60,unripe
716.10,702.10,701.60,692.10,unripe
715.90,701.10,702.00,692.30,unripe
716.10,701.40,702.00,692.00,unripe
716.00,701.50,701.60,692.20,unripe
716.00,701.80,702.40,692.70,unripe
715.80,701.60,701.70,692.30,unripe
716.00,701.30,701.80,692.40,unripe
716.90,702.80,702.70,692.80,unripe
716.00,701.60,701.20,692.30,unripe
715.60,701.70,701.30,692.30,unripe
716.40,701.80,701.20,691.70,unripe
715.70,701.20,698.20,684.60,unripe
714.70,696.50,696.40,685.50,unripe
714.70,697.70,697.80,687.20,unripe
715.60,697.80,697.90,687.70,unripe
716.20,698.60,697.80,685.60,unripe
714.60,697.60,697.00,685.20,unripe
712.50,696.50,695.80,684.20,unripe
716.60,706.70,706.00,699.80,unripe
727.60,708.00,705.60,693.80,unripe
725.10,708.40,707.60,697.40,unripe
724.70,707.00,707.00,696.70,unripe
724.10,706.70,706.40,695.70,unripe
721.60,704.20,703.10,693.30,unripe
718.20,702.50,702.10,692.30,unripe
718.60,702.30,703.50,692.10,unripe
719.20,703.60,703.60,693.60,unripe
717.10,701.10,702.20,693.50,unripe
718.20,703.40,702.30,691.80,unripe
715.30,700.60,699.90,690.80,unripe
715.00,698.00,697.80,687.70,unripe
711.60,696.80,696.40,686.10,unripe
710.40,695.80,696.00,685.60,unripe
707.20,693.30,693.50,684.70,unripe
708.70,694.40,693.90,685.90,unripe
708.40,694.10,693.30,684.30,unripe
707.30,693.30,692.50,684.80,unripe
707.70,692.70,692.70,685.00,unripe
709.40,699.00,698.30,688.90,unripe
711.50,697.20,697.10,687.40,unripe
711.20,696.00,697.30,689.60,unripe
713.20,698.60,699.10,688.90,unripe
715.30,702.00,701.60,693.00,unripe
716.70,702.40,703.20,694.00,unripe
717.20,704.20,704.50,695.90,unripe
720.40,709.20,708.30,699.40,unripe
720.90,706.30,704.90,694.80,unripe
717.20,702.40,702.70,694.20,unripe
718.30,704.20,705.40,697.80,unripe
719.20,706.10,705.70,697.00,unripe
719.40,705.50,705.70,697.50,unripe
719.40,706.10,706.10,697.60,unripe
718.90,706.10,706.20,699.00,unripe
719.10,706.40,706.70,698.60,unripe
720.60,708.00,707.70,698.80,unripe
721.00,707.30,707.10,699.20,unripe
720.60,707.80,708.00,699.00,unripe
720.20,707.50,707.90,698.90,unripe
719.40,706.50,705.90,697.60,unripe
719.30,705.70,706.10,695.20,unripe
718.40,702.80,703.50,693.00,unripe
718.70,703.50,703.60,694.60,unripe
719.30,704.30,703.80,695.00,unripe
720.00,703.80,704.30,693.70,unripe
718.80,703.70,705.00,696.00,unripe
720.00,704.80,705.70,696.00,unripe
719.10,704.10,704.40,695.10,unripe
718.50,703.80,703.90,694.60,unripe
718.50,704.10,704.30,694.70,unripe
718.60,704.30,704.30,695.70,unripe
718.60,704.40,703.80,694.20,unripe
718.50,703.50,703.30,694.40,unripe
719.10,704.50,706.00,698.50,unripe
722.10,707.80,707.30,698.70,unripe
723.00,708.30,708.90,699.50,unripe
723.10,707.80,708.30,698.60,unripe
722.10,706.80,707.00,697.70,unripe
721.80,707.00,706.50,697.10,unripe
721.30,707.40,707.20,697.50,unripe
721.80,706.30,707.10,697.50,unripe
722.30,706.70,706.40,696.60,unripe
720.60,705.30,705.20,696.60,unripe
720.40,705.50,705.30,696.00,unripe
720.90,705.80,705.90,696.70,unripe
720.80,705.30,704.90,695.40,unripe
720.40,705.20,704.80,695.40,unripe
720.00,705.50,705.70,696.60,unripe
721.50,706.80,707.90,698.30,unripe
722.60,707.20,706.60,697.10,unripe
721.60,706.60,707.00,697.10,unripe
721.20,706.10,706.70,698.10,unripe
722.30,706.80,707.10,697.60,unripe
722.80,707.90,708.20,699.00,unripe
723.40,708.40,710.20,699.80,unripe
725.40,708.00,708.00,695.80,unripe
724.10,706.40,705.90,694.90,unripe
724.50,705.60,705.40,694.60,unripe
723.10,705.30,704.80,695.00,unripe
724.20,706.30,706.20,695.50,unripe
722.20,704.60,705.10,694.60,unripe
720.90,703.70,703.10,693.00,unripe
719.70,703.30,703.10,693.50,unripe
720.40,703.50,703.50,693.20,unripe
721.10,703.70,703.50,693.40,unripe
719.80,703.50,704.50,694.30,unripe
721.30,705.10,705.40,694.90,unripe
721.40,704.90,705.30,695.10,unripe
721.50,705.20,706.00,696.40,unripe
722.90,705.50,706.70,697.50,unripe
723.10,707.20,707.30,696.80,unripe
723.30,707.20,706.50,696.30,unripe
723.20,706.10,705.80,696.50,unripe
722.30,705.80,705.70,695.50,unripe
722.40,706.20,706.50,695.40,unripe
722.30,705.80,705.80,695.90,unripe
722.30,705.90,706.10,696.20,unripe
722.30,706.20,706.90,696.60,unripe
722.40,706.80,706.90,697.50,unripe
723.20,707.20,707.50,697.50,unripe
723.40,707.70,707.10,697.30,unripe
723.20,707.00,707.20,697.80,unripe
722.90,707.10,708.50,698.50,unripe
724.00,707.80,708.80,699.20,unripe
724.30,708.50,708.80,699.10,unripe
724.20,708.60,708.80,699.20,unripe
724.10,709.40,710.10,700.00,unripe
724.60,709.10,710.10,701.40,unripe
725.90,709.50,709.50,699.70,unripe
724.70,708.80,709.10,698.50,unripe
724.20,708.30,708.40,699.00,unripe
724.90,708.10,708.00,697.70,unripe
724.70,708.20,709.30,699.00,unripe
724.10,707.80,707.70,697.90,unripe
723.40,706.40,706.60,695.10,unripe
